chr1	500000	600000	HC9
chr1	700000	800000	HC3
chr1	800000	1900000	HC1
chr1	1900000	2600000	HC3
chr1	2600000	2700000	HC9
chr1	2700000	2900000	HC3
chr1	2900000	3300000	HC5
chr1	3300000	3500000	HC3
chr1	3500000	3600000	HC1
chr1	3600000	3900000	HC3
chr1	3900000	4000000	HC9
chr1	4000000	5900000	HC5
chr1	5900000	6200000	HC3
chr1	6200000	6900000	HC1
chr1	6900000	7000000	HC3
chr1	7000000	7400000	HC5
chr1	7400000	7500000	HC3
chr1	7500000	7800000	HC5
chr1	7800000	7900000	HC3
chr1	7900000	8000000	HC5
chr1	8000000	10800000	HC1
chr1	10800000	10900000	HC3
chr1	10900000	11400000	HC1
chr1	11400000	11700000	HC3
chr1	11700000	12300000	HC1
chr1	12300000	12700000	HC3
chr1	12700000	12900000	HC5
chr1	12900000	13000000	HC9
chr1	13100000	13300000	HC9
chr1	13700000	13800000	HC9
chr1	13800000	14000000	HC5
chr1	14000000	14100000	HC1
chr1	14100000	14300000	HC3
chr1	14300000	14800000	HC5
chr1	14800000	14900000	HC3
chr1	14900000	15400000	HC5
chr1	15400000	15700000	HC3
chr1	15700000	16800000	HC1
chr1	16800000	17100000	HC3
chr1	17100000	17200000	HC9
chr1	17200000	17400000	HC1
chr1	17400000	17600000	HC3
chr1	17600000	17700000	HC5
chr1	17700000	17800000	HC3
chr1	17800000	18600000	HC5
chr1	18600000	18700000	HC3
chr1	18700000	19200000	HC5
chr1	19200000	19300000	HC3
chr1	19300000	19400000	HC5
chr1	19400000	20000000	HC1
chr1	20000000	20300000	HC3
chr1	20300000	20400000	HC5
chr1	20400000	20500000	HC3
chr1	20500000	20800000	HC5
chr1	20800000	21000000	HC3
chr1	21000000	21700000	HC1
chr1	21700000	22000000	HC3
chr1	22000000	22500000	HC1
chr1	22500000	22600000	HC3
chr1	22600000	22700000	HC5
chr1	22700000	22900000	HC3
chr1	22900000	23000000	HC5
chr1	23000000	23200000	HC3
chr1	23200000	23300000	HC5
chr1	23300000	24300000	HC1
chr1	24300000	24700000	HC3
chr1	24700000	25600000	HC1
chr1	25600000	25700000	HC3
chr1	25700000	26000000	HC1
chr1	26000000	26100000	HC3
chr1	26100000	29500000	HC1
chr1	29500000	29600000	HC3
chr1	29600000	29900000	HC5
chr1	30000000	30100000	HC5
chr1	30100000	30200000	HC3
chr1	30200000	31100000	HC5
chr1	31100000	31200000	HC3
chr1	31200000	31900000	HC1
chr1	31900000	32000000	HC3
chr1	32000000	33700000	HC1
chr1	33700000	34000000	HC3
chr1	34000000	34800000	HC5
chr1	34800000	35000000	HC3
chr1	35000000	35300000	HC5
chr1	35300000	35400000	HC3
chr1	35400000	37000000	HC1
chr1	37000000	37700000	HC5
chr1	37700000	37800000	HC3
chr1	37800000	37900000	HC5
chr1	37900000	38600000	HC1
chr1	38600000	38700000	HC3
chr1	38700000	38900000	HC5
chr1	38900000	39000000	HC1
chr1	39000000	39100000	HC3
chr1	39100000	39300000	HC5
